#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2ML1	PKP3	9606.ENSP00000299698	9606.ENSP00000331678	0	0	0	0	0.062	0	0	0.393	0.407
A2ML1	DSC3	9606.ENSP00000299698	9606.ENSP00000353608	0	0	0	0	0.064	0	0	0.420	0.434
A2ML1	COL17A1	9606.ENSP00000299698	9606.ENSP00000340937	0	0	0	0	0	0	0	0.505	0.505
A2ML1	DSP	9606.ENSP00000299698	9606.ENSP00000369129	0	0	0	0	0.062	0	0	0.685	0.692
A2ML1	KLK6	9606.ENSP00000299698	9606.ENSP00000366047	0	0	0	0	0	0.134	0	0.730	0.756
ABCA12	CARD14	9606.ENSP00000272895	9606.ENSP00000458715	0	0	0	0	0	0.057	0	0.473	0.482
ABCA12	IVL	9606.ENSP00000272895	9606.ENSP00000357753	0	0	0	0	0.165	0	0	0.455	0.525
ABCA12	SPINK5	9606.ENSP00000272895	9606.ENSP00000352936	0	0	0	0	0.091	0	0	0.508	0.534
ABCA4	USH1C	9606.ENSP00000359245	9606.ENSP00000005226	0	0	0	0	0.062	0.059	0	0.470	0.491
ABCA4	LRAT	9606.ENSP00000359245	9606.ENSP00000337224	0	0	0	0	0	0	0	0.629	0.629
ABCA4	CFB	9606.ENSP00000359245	9606.ENSP00000416561	0	0	0	0	0.069	0.056	0	0.390	0.417
ABCA4	FOXE1	9606.ENSP00000359245	9606.ENSP00000364265	0	0	0	0	0	0	0	0.458	0.457
ABCA4	PROM1	9606.ENSP00000359245	9606.ENSP00000426809	0	0	0	0	0	0	0	0.635	0.635
ABCA4	CNGA3	9606.ENSP00000359245	9606.ENSP00000377140	0	0	0	0	0	0	0	0.651	0.651
ABCA4	EYS	9606.ENSP00000359245	9606.ENSP00000424243	0	0	0	0	0	0	0	0.703	0.703
ABCA4	MYO7A	9606.ENSP00000359245	9606.ENSP00000386331	0	0	0	0	0.049	0	0	0.735	0.737
ABCB6	SLCO5A1	9606.ENSP00000265316	9606.ENSP00000260126	0	0	0	0	0	0	0	0.611	0.611
ABCB6	SLC9A3	9606.ENSP00000265316	9606.ENSP00000264938	0	0	0	0	0.062	0.101	0	0.466	0.510
ABCB6	SLC15A1	9606.ENSP00000265316	9606.ENSP00000365686	0	0	0	0	0	0	0	0.434	0.434
ABCB6	STRA6	9606.ENSP00000265316	9606.ENSP00000456609	0	0	0	0	0	0	0	0.446	0.446
ABCB6	SMOC1	9606.ENSP00000265316	9606.ENSP00000355110	0	0	0	0	0.062	0	0	0.462	0.474
ABCC2	CDH17	9606.ENSP00000359478	9606.ENSP00000027335	0	0	0	0	0	0	0	0.689	0.689
ABCC2	GCLC	9606.ENSP00000359478	9606.ENSP00000229416	0	0	0	0	0.065	0	0	0.484	0.496
ABCC2	F12	9606.ENSP00000359478	9606.ENSP00000253496	0	0	0	0	0.443	0.057	0	0	0.452
ABCC2	BAAT	9606.ENSP00000359478	9606.ENSP00000259407	0	0	0	0	0.121	0	0	0.457	0.502
ABCC2	SLCO1B3	9606.ENSP00000359478	9606.ENSP00000261196	0	0	0	0	0.130	0	0	0.823	0.839
ABCC2	SLC9A3	9606.ENSP00000359478	9606.ENSP00000264938	0	0	0	0	0	0.056	0	0.446	0.454
ABCC2	HGD	9606.ENSP00000359478	9606.ENSP00000283871	0	0	0	0	0.577	0	0	0.045	0.579
ABCC2	NPC1L1	9606.ENSP00000359478	9606.ENSP00000289547	0	0	0	0	0.062	0.177	0	0.322	0.431
ABCC2	UGT1A6	9606.ENSP00000359478	9606.ENSP00000303174	0	0	0	0	0.262	0	0	0.713	0.779
ABCC2	UGT1A8	9606.ENSP00000359478	9606.ENSP00000304845	0	0	0	0	0.239	0	0	0.735	0.790
ABCC2	FGA	9606.ENSP00000359478	9606.ENSP00000306361	0	0	0	0	0.399	0.056	0	0	0.408
ABCC2	HNF4A	9606.ENSP00000359478	9606.ENSP00000312987	0	0	0	0	0.207	0	0	0.464	0.557
ABCC2	TYMS	9606.ENSP00000359478	9606.ENSP00000315644	0	0	0	0	0.116	0	0	0.384	0.432
ABCC2	UGT1A9	9606.ENSP00000359478	9606.ENSP00000346768	0	0	0	0	0.254	0	0	0.646	0.725
ABCC2	CYP2D6	9606.ENSP00000359478	9606.ENSP00000353820	0	0	0	0	0.063	0	0	0.524	0.535
ABCC2	GCLM	9606.ENSP00000359478	9606.ENSP00000359258	0	0	0	0	0.062	0.056	0	0.389	0.412
ABCC2	SLC28A3	9606.ENSP00000359478	9606.ENSP00000365413	0	0	0	0	0	0	0	0.403	0.403
ABCC2	CYP2E1	9606.ENSP00000359478	9606.ENSP00000440689	0	0	0	0	0.066	0	0	0.420	0.435
ABCC2	UGT1A4	9606.ENSP00000359478	9606.ENSP00000362508	0	0	0	0	0.260	0	0	0.351	0.500
ABCC2	XDH	9606.ENSP00000359478	9606.ENSP00000368727	0	0	0	0	0.145	0	0	0.490	0.545
ABCC2	SLC15A1	9606.ENSP00000359478	9606.ENSP00000365686	0	0	0	0	0.058	0.076	0	0.574	0.597
ABCC2	UGT1A7	9606.ENSP00000359478	9606.ENSP00000362525	0	0	0	0	0.239	0	0	0.514	0.614
ABCC2	SLCO1B3-SLCO1B7	9606.ENSP00000359478	9606.ENSP00000441269	0	0	0	0	0.108	0	0	0.824	0.836
ABCC3	GCLC	9606.ENSP00000285238	9606.ENSP00000229416	0	0	0	0	0.065	0	0	0.441	0.455
ABCC3	SLCO1B3	9606.ENSP00000285238	9606.ENSP00000261196	0	0	0	0	0.086	0	0	0.767	0.778
ABCC3	HNF4A	9606.ENSP00000285238	9606.ENSP00000312987	0	0	0	0	0.087	0	0	0.371	0.401
ABCC3	CLDN3	9606.ENSP00000285238	9606.ENSP00000378577	0	0	0	0	0.063	0	0	0.439	0.452
ABCC3	NQO1	9606.ENSP00000285238	9606.ENSP00000319788	0	0	0	0	0.090	0	0	0.425	0.454
ABCC3	MARCKSL1	9606.ENSP00000285238	9606.ENSP00000362638	0	0	0	0	0	0	0	0.517	0.517
ABCC3	FGF19	9606.ENSP00000285238	9606.ENSP00000294312	0	0	0	0	0	0	0	0.537	0.537
ABCC3	UGT1A6	9606.ENSP00000285238	9606.ENSP00000303174	0	0	0	0	0.099	0	0	0.563	0.590
ABCC3	SLC15A1	9606.ENSP00000285238	9606.ENSP00000365686	0	0	0	0	0.058	0.076	0	0.576	0.599
ABCC3	UGT1A8	9606.ENSP00000285238	9606.ENSP00000304845	0	0	0	0	0.084	0	0	0.591	0.610
ABCC3	SLCO1B3-SLCO1B7	9606.ENSP00000285238	9606.ENSP00000441269	0	0	0	0	0.063	0	0	0.767	0.772
ACAN	MMP11	9606.ENSP00000387356	9606.ENSP00000215743	0	0	0	0	0.062	0.060	0	0.625	0.641
ACAN	COMP	9606.ENSP00000387356	9606.ENSP00000222271	0	0	0	0	0.082	0	0.600	0.891	0.956
ACAN	COL1A1	9606.ENSP00000387356	9606.ENSP00000225964	0	0	0	0	0.062	0	0	0.762	0.767
ACAN	GAPDH	9606.ENSP00000387356	9606.ENSP00000229239	0	0	0	0	0.063	0	0	0.683	0.690
ACAN	NT5E	9606.ENSP00000387356	9606.ENSP00000257770	0	0	0	0	0.062	0	0	0.592	0.601
ACAN	MMP7	9606.ENSP00000387356	9606.ENSP00000260227	0	0	0	0	0.062	0.060	0.900	0.633	0.963
ACAN	MMP13	9606.ENSP00000387356	9606.ENSP00000260302	0	0	0	0	0	0.060	0.900	0.883	0.988
ACAN	CILP	9606.ENSP00000387356	9606.ENSP00000261883	0	0	0	0	0.062	0	0	0.562	0.572
ACAN	IL37	9606.ENSP00000387356	9606.ENSP00000263326	0	0	0	0	0	0	0	0.462	0.461
ACAN	VCAN	9606.ENSP00000387356	9606.ENSP00000265077	0	0	0	0.601	0.062	0.077	0.500	0.911	0.699
ACAN	TNC	9606.ENSP00000387356	9606.ENSP00000265131	0	0	0	0	0.063	0.770	0.600	0.487	0.949
ACAN	EGF	9606.ENSP00000387356	9606.ENSP00000265171	0	0	0	0	0.065	0	0	0.466	0.479
